用户ID,商品名称,购买数量
1,商品1,6
1,商品2,10
1,商品3,4
1,商品4,10
2,商品5,7
2,商品6,5
2,商品7,6
3,商品8,2
4,商品9,1
4,商品6,3
4,商品10,7
4,商品11,1
5,商品12,8
5,商品8,7
5,商品13,1
5,商品14,1
6,商品8,4
6,商品15,7
6,商品6,5
6,商品16,7
6,商品17,8
7,商品18,6
8,商品12,10
8,商品19,7
8,商品18,9
8,商品20,4
8,商品21,3
9,商品22,3
10,商品8,2
10,商品23,5
11,商品5,2
11,商品12,10
11,商品24,6
11,商品25,2
11,商品26,10
12,商品1,1
12,商品5,8
12,商品8,7
12,商品15,5
12,商品27,7
12,商品6,3
12,商品28,7
12,商品25,5
12,商品29,3
13,商品30,1
14,商品31,10
14,商品18,2
14,商品32,8
15,商品33,5
15,商品5,1
16,商品15,5
16,商品34,4
16,商品35,5
16,商品36,9
17,商品35,9
18,商品37,1
19,商品26,5
20,商品38,8
21,商品12,6
22,商品39,1
22,商品40,5
23,商品8,9
24,商品5,4
24,商品10,7
24,商品41,6
24,商品42,2
24,商品36,2
25,商品5,3
25,商品43,5
25,商品12,8
25,商品44,7
25,商品18,8
25,商品28,2
25,商品45,4
25,商品46,1
25,商品47,8
25,商品48,4
25,商品49,8
26,商品25,7
26,商品50,8
27,商品6,10
28,商品51,10
28,商品18,6
28,商品32,9
28,商品26,6
29,商品12,4
30,商品52,1
30,商品32,2
30,商品35,10
30,商品50,4
30,商品36,9
30,商品53,5
31,商品6,2
31,商品54,6
31,商品25,3
31,商品38,9
32,商品55,2
32,商品12,2
32,商品18,10
32,商品56,1
32,商品25,1
32,商品57,9
32,商品58,10
33,商品43,1
33,商品12,3
33,商品8,1
33,商品54,1
33,商品34,8
34,商品59,2
34,商品60,4
34,商品12,7
34,商品8,2
34,商品61,5
34,商品62,9
34,商品32,8
34,商品17,5
35,商品30,1
35,商品63,1
35,商品42,9
36,商品40,4
36,商品32,2
37,商品35,2
38,商品50,2
39,商品43,7
39,商品12,9
39,商品8,5
39,商品64,9
40,商品1,7
40,商品65,10
40,商品36,8
41,商品51,7
41,商品18,9
41,商品32,5
41,商品50,7
41,商品38,2
41,商品53,2
42,商品5,5
42,商品43,9
42,商品8,7
42,商品6,5
42,商品66,7
42,商品52,7
42,商品40,2
42,商品34,8
42,商品23,5
42,商品7,5
42,商品32,6
42,商品47,3
42,商品48,6
43,商品60,9
43,商品6,5
44,商品50,8
45,商品39,5
45,商品6,3
45,商品10,10
45,商品67,2
45,商品18,4
45,商品25,2
45,商品32,9
45,商品36,2
46,商品7,4
47,商品40,2
47,商品25,5
48,商品18,3
49,商品68,8
50,商品43,7
50,商品12,4
50,商品15,8
50,商品27,10
50,商品61,7
50,商品19,7
50,商品69,1
50,商品18,1
50,商品25,1
50,商品14,7
51,商品51,7
51,商品18,5
51,商品70,6
51,商品36,7
52,商品50,6
53,商品71,5
53,商品63,3
53,商品12,2
53,商品8,2
54,商品72,7
54,商品5,8
54,商品12,8
54,商品27,3
54,商品66,2
54,商品52,7
54,商品2,1
54,商品3,6
54,商品73,10
54,商品35,4
55,商品8,5
55,商品6,2
55,商品41,3
55,商品74,6
55,商品32,9
56,商品8,6
56,商品27,1
56,商品6,8
56,商品40,9
57,商品37,3
57,商品52,2
57,商品50,2
58,商品18,2
58,商品75,8
58,商品25,1
58,商品76,1
58,商品77,1
58,商品57,6
58,商品58,2
59,商品71,7
59,商品30,10
59,商品61,3
59,商品78,10
59,商品18,9
59,商品70,9
60,商品18,10
60,商品40,6
60,商品34,2
61,商品12,9
61,商品8,3
61,商品79,9
61,商品80,8
61,商品46,2
61,商品81,4
61,商品42,4
62,商品51,9
62,商品40,9
63,商品51,8
63,商品30,8
63,商品8,10
64,商品31,8
64,商品5,4
64,商品18,7
64,商品52,6
64,商品34,4
65,商品18,6
65,商品40,3
65,商品32,7
66,商品8,6
67,商品82,7
67,商品7,6
68,商品83,10
68,商品36,7
69,商品51,2
69,商品8,2
69,商品27,9
70,商品5,3
70,商品9,4
70,商品60,8
70,商品8,10
70,商品84,5
70,商品18,6
70,商品74,10
70,商品26,5
71,商品83,9
72,商品8,3
72,商品15,9
72,商品3,2
72,商品85,6
72,商品86,7
72,商品87,8
72,商品88,6
73,商品31,8
73,商品1,7
73,商品8,1
73,商品66,9
73,商品75,4
73,商品89,10
73,商品86,6
73,商品36,7
74,商品8,1
74,商品11,4
74,商品32,5
75,商品84,7
76,商品12,5
76,商品8,9
76,商品18,2
76,商品34,8
77,商品1,9
77,商品8,7
77,商品27,1
77,商品39,3
77,商品40,9
78,商品28,1
78,商品90,8
78,商品25,10
78,商品35,6
78,商品20,3
79,商品34,9
79,商品25,4
79,商品32,4
79,商品20,8
80,商品91,9
80,商品7,8
81,商品26,8
82,商品43,5
82,商品8,2
82,商品79,2
82,商品66,5
82,商品18,5
82,商品75,10
82,商品3,6
82,商品92,8
82,商品35,2
82,商品49,6
