商品ID,商品名称,品类
1,商品1,品类1
2,商品2,品类2
3,商品3,品类3
4,商品4,品类4
5,商品5,品类5
6,商品6,品类6
7,商品7,品类3
8,商品8,品类7
9,商品9,品类8
10,商品10,品类9
11,商品11,品类4
12,商品12,品类10
13,商品13,品类11
14,商品14,品类12
15,商品15,品类13
16,商品16,品类14
17,商品17,品类15
18,商品18,品类5
19,商品19,品类5
20,商品20,品类16
21,商品21,品类17
22,商品22,品类18
23,商品23,品类6
24,商品24,品类19
25,商品25,品类15
26,商品26,品类12
27,商品27,品类20
28,商品28,品类15
29,商品29,品类21
30,商品30,品类14
31,商品31,品类12
32,商品32,品类22
34,商品33,品类20
36,商品34,品类14
38,商品35,品类23
39,商品36,品类3
40,商品37,品类12
41,商品38,品类24
42,商品39,品类25
43,商品40,品类12
44,商品41,品类26
45,商品42,品类27
46,商品43,品类15
47,商品44,品类28
48,商品45,品类29
49,商品46,品类15
50,商品47,品类30
52,商品48,品类4
53,商品49,品类31
54,商品50,品类23
55,商品51,品类12
57,商品52,品类12
58,商品53,品类4
60,商品54,品类2
61,商品55,品类32
62,商品56,品类12
63,商品57,品类33
64,商品58,品类3
65,商品59,品类5
66,商品60,品类34
68,商品61,品类3
69,商品62,品类5
70,商品63,品类35
71,商品64,品类8
72,商品65,品类36
73,商品66,品类24
74,商品67,品类15
75,商品68,品类36
76,商品69,品类34
77,商品70,品类37
78,商品71,品类38
79,商品72,品类32
80,商品73,品类20
81,商品74,品类39
82,商品75,品类36
83,商品76,品类15
85,商品77,品类15
86,商品78,品类40
87,商品79,品类23
88,商品80,品类5
89,商品81,品类41
92,商品82,品类42
93,商品83,品类43
94,商品84,品类4
95,商品85,品类9
96,商品86,品类36
97,商品87,品类14
99,商品88,品类37
100,商品89,品类32
101,商品90,品类44
102,商品91,品类5
103,商品92,品类22
104,商品93,品类5
105,商品94,品类15
106,商品95,品类36
107,商品96,品类45
108,商品97,品类37
110,商品98,品类46
111,商品99,品类47
112,商品100,品类48
113,商品101,品类49
116,商品102,品类37
117,商品103,品类14
118,商品104,品类3
119,商品105,品类5
121,商品106,品类12
122,商品107,品类3
123,商品108,品类50
125,商品109,品类5
126,商品110,品类2
128,商品111,品类37
129,商品112,品类3
132,商品113,品类51
135,商品114,品类5
137,商品115,品类37
140,商品116,品类15
141,商品117,品类5
144,商品118,品类5
145,商品119,品类16
146,商品120,品类7
147,商品121,品类12
148,商品122,品类12
149,商品123,品类47
150,商品124,品类52
151,商品125,品类53
152,商品126,品类54
153,商品127,品类48
